"nom_local","des_local","oid_falha","des_tipo_falha","des_atributo_falha","des_disfuncao_processo","des_falha","idc_detalhes_falha","dth_inicial_realizado","dth_final_realizado"
"LAMINAÇÃO","LAMINAÇÃO","754988","SISTEMAS/TI","-","Danificado(a)","SISTEMAS/TI - Danificado(a)","Máscara do material SIDERPERU cadastrada errada, gerando peso do feixe padrão de 2043. Foi necessário abrir um chamado para resolver o problema.","3/9/2020 23:09","3/9/2020 23:37"
"LAMINAÇÃO","LAMINAÇÃO","754998","SISTEMAS/TI","-","Danificado(a)","SISTEMAS/TI - Danificado(a)","Máscara do material SIDERPERU cadastrada errada, gerando peso do feixe padrão de 2043. Foi necessário abrir um chamado para resolver o problema.","3/9/2020 23:41","3/9/2020 23:47"
"LAMINAÇÃO","LAMINAÇÃO","755001","SISTEMAS/TI","-","Danificado(a)","SISTEMAS/TI - Danificado(a)","Máscara do material SIDERPERU cadastrada errada, gerando peso do feixe padrão de 2043. Foi necessário abrir um chamado para resolver o problema.","3/9/2020 23:49","3/10/2020 0:42"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","597753","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","EPS SEM GERAR ETIQUETAS. PERDA DE COMUNICAÇÃO.","1/6/2019 17:37","1/6/2019 18:06"
"LAMINAÇÃO","LAMINAÇÃO","615951","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Perda de comunicação com a rede. Na ocasião foi feito etiquetas manuais, afim de não para o processo.","2/22/2019 16:30","2/22/2019 16:36"
"LAMINAÇÃO","LAMINAÇÃO","717160","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Sistema MES EPS travado, não aparecendo lotes e contagem de peças no sistema.","10/29/2019 6:39","10/29/2019 8:21"
"LAMINAÇÃO","LAMINAÇÃO","717162","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Sistema MES EPS travado, não aparecendo lotes e contagem de peças no sistema.","10/29/2019 8:21","10/29/2019 8:36"
"LAMINAÇÃO","LAMINAÇÃO","717163","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Sistema MES EPS travado, não aparecendo lotes e contagem de peças no sistema.","10/29/2019 8:36","10/29/2019 8:41"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","716221","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","EPS etiquetas gerando copias do mesmo lotes repetidas vezes sem deixa o lotes atuais entrarem em fila. Esta falha no ESP-Etiquetas esta relacionada ao problema no MES anteriormente.","10/26/2019 16:42","10/26/2019 18:08"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","709348","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Mascara da etiqueta do 12m B. reta de 2x12CA50 saindo como se fosse 6m.","10/9/2019 12:31","10/9/2019 12:42"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","709057","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Problema no momento de pesagem do feixe no p8, material de 12 metros saindo 2 etiquetas do mesma forma do 6mt.","10/8/2019 22:26","10/8/2019 22:34"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","708897","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Pult-8 atrasando devido MES travado.","10/8/2019 12:05","10/8/2019 12:09"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","709393","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Mascara da etiqueta do 12m B. reta de 2x12CA50 saindo como se fosse 6m.","10/9/2019 12:42","10/9/2019 12:43"
"LAMINAÇÃO","LAMINAÇÃO","694437","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Terminais de controle do e monitoramento do processo de laminação (SIGMA) no pult-central esta sem rede.","9/4/2019 10:18","9/4/2019 10:35"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","693869","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","mes travando","9/2/2019 15:55","9/2/2019 16:07"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","694002","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Atraso no enfeixamento devido sistema MES EPS com perda de comunicação.","9/3/2019 1:07","9/3/2019 1:19"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","693792","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","eps em gerar etiqueta","9/2/2019 11:43","9/2/2019 12:01"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","693855","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","EPS sem gerar etiqueta.","9/2/2019 15:09","9/2/2019 15:15"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","693858","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","EPS sem gerar etiqueta.","9/2/2019 15:21","9/2/2019 15:30"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","693846","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","EPS em gerar etiqueta.","9/2/2019 14:51","9/2/2019 15:05"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","693832","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","EPS sem gerar etiqueta devido travar esta travando constantemente.","9/2/2019 14:07","9/2/2019 14:19"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","693840","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","EPS sem gerar etiqueta devido  esta travando constantemente.","9/2/2019 14:23","9/2/2019 14:28"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","693819","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","EPS sem gerar etiqueta.","9/2/2019 13:21","9/2/2019 13:32"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","692883","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Balança no enfeixamento ao pesar o feixe estava gerando duas etiquetas como se estivesse rodando material de 6 metros gerando produto não conforme. Foi aberto o chamado vindo a resolver o problema.","8/31/2019 11:26","8/31/2019 11:42"
"LAMINAÇÃO","SIP P8-ENFEIXAMENTO LAMINADOR","692890","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","Balança no enfeixamento ao pesar o feixe estava gerando duas etiquetas como se estivesse rodando material de 6 metros gerando produto não conforme. Foi aberto o chamado vindo a resolver o problema.","8/31/2019 11:54","8/31/2019 12:10"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","692545","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","EPS do p8,perda de comunicação.","8/30/2019 14:49","8/30/2019 14:59"
"LAMINAÇÃO","LAMINAÇÃO","743497","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","EPS SEM COMUNICAÇÃO.( SEM GERAR ETIQUETA )","2/8/2020 7:00","2/8/2020 11:15"
"LAMINAÇÃO","PULT 08 - ENFEIXAMENTO","743572","SISTEMAS/TI","-","Perda de comunicação","SISTEMAS/TI - Perda de comunicação","atraso no p8 devido eps sem comunicação","2/8/2020 11:36","2/8/2020 11:42"
